id_respuesta,fecha,edad,area,satisfaccion,comentario
R00063,2025-01-18,53.0,Atención,8,Rápido
R00064,2025-01-04,54.0,Soporte,10,Muy bien
R00065,2025-01-25,20.0,Soporte,5,
R00066,2025-01-28,26.0,Atención,5,Regular
R00067,2025-01-14,,Ventas,1,Mal servicio
R00068,2025-01-18,60.0,Ventas,1,Poco claro
R00069,2025-01-26,52.0,Atención,1,
R00070,2025-01-09,51.0,Atención,8,Todo correcto
R00071,2025-01-26,58.0,Soporte,10,Amables
R00072,2025-01-21,31.0,Soporte,2,
R00073,2025-01-02,21.0,Soporte,8,Amables
R00074,2025-01-20,46.0,Ventas,6,Mal servicio
R00075,2025-01-28,58.0,Postventa,5,
R00076,2025-01-15,62.0,Soporte,6,Demora
R00077,2025-01-28,32.0,Atención,4,
R00078,2025-01-07,45.0,Soporte,3,Mal servicio
R00079,2025-01-12,59.0,Ventas,4,
R00080,2025-01-29,33.0,Ventas,9,Amables
R00081,2025-01-08,29.0,Atención,8,Todo correcto
R00082,2025-01-15,22.0,Soporte,8,Excelente
R00083,2025-01-03,51.0,Soporte,1,Poco claro
R00084,2025-01-14,-14.0,Ventas,5,
R00085,2025-01-17,18.0,Atención,6,
R00086,2025-01-04,56.0,Ventas,9,Todo correcto
R00087,2025-01-18,49.0,Soporte,10,Excelente
R00088,2025-01-08,43.0,Ventas,10,Excelente
R00089,2025-01-04,34.0,Atención,6,
R00090,2025-01-02,65.0,Ventas,1,
R00091,2025-01-30,44.0,Postventa,1,No resolvieron
R00092,2025-01-06,41.0,Postventa,7,Regular
R00093,2025-01-22,52.0,Postventa,NS/NC,
R00094,2025-01-10,63.0,Atención,7,Demora
R00095,2025-01-04,59.0,Soporte,NS/NC,
R00096,2025-01-22,56.0,Atención,1,
R00097,2025-01-29,43.0,Atención,8,Rápido
R00098,2025-01-31,55.0,Atención,9,Todo correcto
R00099,2025-01-18,40.0,Soporte,6,
R00100,2025-01-26,39.0,Ventas,2,
R00101,2025-01-12,21.0,Soporte,9,Excelente
R00102,2025-01-02,,Ventas,2,
R00103,2025-01-10,21.0,Atención,6,Poco claro
R00104,2025-01-30,24.0,Ventas,10,Todo correcto
R00105,2025-01-04,40.0,Atención,4,No resolvieron
R00106,2025-01-14,19.0,Soporte,6,
R00107,2025-01-31,41.0,Soporte,4,
R00108,2025-01-16,57.0,Ventas,3,
R00109,2025-01-15,48.0,Postventa,8,Todo correcto
R00110,2025-01-08,64.0,Atención,NS/NC,
R00111,2025-01-14,48.0,Atención,1,
R00112,2025-01-23,64.0,Ventas,8,Todo correcto
R00113,2025-01-28,57.0,Soporte,3,Demora
R00114,2025-01-25,65.0,Soporte,4,No resolvieron
R00115,2025-01-30,60.0,Atención,9,Rápido
R00116,2025-01-08,51.0,Ventas,3,Mal servicio
R00117,2025-01-21,41.0,Atención,5,
R00118,2025-01-16,43.0,Atención,8,Excelente
R00119,2025-01-13,33.0,Atención,6,Regular
R00120,2025-01-18,64.0,Postventa,3,
R00121,2025-01-15,30.0,Atención,8,Todo correcto
R00122,2025-01-21,32.0,Ventas,5,
R00123,2025-01-24,44.0,Atención,6,Regular
R00124,2025-01-26,21.0,Soporte,3,
R00125,2025-01-25,33.0,Postventa,8,Muy bien
R00126,2025-01-28,47.0,Atención,4,Poco claro
R00127,2025-01-28,61.0,Ventas,9,Amables
R00128,2025-01-28,47.0,Postventa,5,
R00129,2025-01-13,53.0,Ventas,1,
R00130,2025-01-09,20.0,Atención,9,Muy bien
R00131,2025-01-29,39.0,Ventas,8,Rápido
R00132,2025-01-15,39.0,Ventas,5,No resolvieron
R00133,2025-01-13,29.0,Postventa,3,Poco claro
R00134,2025-01-01,38.0,Ventas,9,Amables
R00135,2025-01-25,21.0,Soporte,7,Mal servicio
R00136,2025-01-07,48.0,Ventas,8,Excelente
R00137,2025-01-09,,Soporte,3,Poco claro
R00138,2025-01-24,48.0,Soporte,NS/NC,
R00139,2025-01-01,40.0,Soporte,4,
R00140,2025-01-12,37.0,Ventas,3,
R00141,2025-01-08,32.0,Soporte,4,Demora
R00142,2025-01-24,40.0,Ventas,2,Demora
R00143,2025-01-31,45.0,Atención,5,
R00144,2025-01-11,33.0,Soporte,8,Excelente
R00145,2025-01-19,,Atención,5,
R00146,2025-01-17,38.0,Atención,2,Regular
R00147,2025-01-08,32.0,Soporte,7,Mal servicio
R00148,2025-01-03,34.0,Postventa,12,Todo correcto
R00149,2025-01-03,54.0,Soporte,4,
R00150,2025-01-01,30.0,Atención,3,Regular
R00151,2025-01-27,36.0,Soporte,8,Amables
R00152,2025-01-05,47.0,Soporte,10,Muy bien
R00153,2025-01-10,62.0,Soporte,2,Regular
R00154,2025-01-07,35.0,Soporte,7,Regular
R00155,2025-01-26,31.0,Atención,10,Amables
R00156,2025-01-09,53.0,Atención,8,Excelente
R00157,2025-01-28,53.0,Ventas,5,
R00158,2025-01-07,37.0,Soporte,7,
R00159,2025-01-09,36.0,Atención,9,Excelente
R00160,2025-01-08,62.0,Postventa,8,Excelente
R00161,2025-01-12,61.0,Atención,5,No resolvieron
R00162,2025-01-02,,Atención,4,
R00163,2025-01-01,61.0,Ventas,3,Mal servicio
R00164,2025-01-16,21.0,Ventas,6,Regular
R00165,2025-01-23,51.0,Atención,4,Mal servicio
R00166,2025-01-23,19.0,Soporte,4,Mal servicio
R00167,2025-01-30,22.0,Atención,7,
R00168,2025-01-24,27.0,Postventa,10,Excelente
R00169,2025-01-05,49.0,Ventas,5,Poco claro
R00170,2025-01-03,59.0,Atención,1,Poco claro
R00171,2025-01-12,58.0,Atención,5,
R00172,2025-01-08,30.0,Soporte,6,
R00173,2025-01-22,56.0,Soporte,1,
R00174,2025-01-27,,Ventas,3,
R00175,2025-01-03,,Postventa,6,Regular
R00176,2025-01-01,27.0,Soporte,7,Regular
R00177,2025-01-03,55.0,Ventas,7,
R00178,2025-01-05,44.0,Soporte,7,Demora
R00179,2025-01-15,38.0,Soporte,9,Amables
R00180,2025-01-14,,Ventas,2,Regular
R00181,2025-01-03,18.0,Atención,3,Poco claro
R00182,2025-01-01,45.0,Atención,7,
R00183,2025-01-05,56.0,Ventas,6,Mal servicio
R00184,2025-01-26,31.0,Soporte,1,Demora
R00185,2025-01-23,38.0,Postventa,10,Todo correcto
R00186,2025-01-31,47.0,Atención,7,
R00187,2025-01-14,38.0,Atención,2,No resolvieron
R00188,2025-01-07,26.0,Soporte,4,Poco claro
R00189,2025-01-27,34.0,Soporte,7,Poco claro
R00190,2025-01-09,22.0,Postventa,4,Poco claro
R00191,2025-01-15,48.0,Atención,6,Mal servicio
R00192,2025-01-15,57.0,Soporte,9,Excelente
R00193,2025-01-26,55.0,Soporte,5,
R00194,2025-01-10,60.0,Ventas,3,
R00195,2025-01-28,36.0,Soporte,6,Demora
R00196,2025-01-13,53.0,Soporte,4,
R00197,2025-01-19,50.0,Ventas,9,Todo correcto
R00198,2025-01-31,30.0,Atención,2,Poco claro
R00199,2025-01-07,31.0,Postventa,10,Excelente
R00200,2025-01-17,50.0,Ventas,5,
R00201,2025-01-20,46.0,Soporte,9,Amables
R00202,2025-01-29,60.0,Ventas,10,Todo correcto
R00203,2025-01-04,53.0,Ventas,7,
R00204,2025-01-30,61.0,Ventas,5,No resolvieron
R00205,2025-01-05,27.0,Atención,8,Muy bien
R00206,2025-01-23,48.0,Ventas,2,
R00207,2025-01-07,23.0,Atención,4,No resolvieron
R00208,2025-01-13,18.0,Atención,6,No resolvieron
R00209,2025-01-15,24.0,Ventas,7,Demora
R00210,2025-01-11,44.0,Ventas,8,Excelente
R00211,2025-01-29,38.0,Soporte,4,Poco claro
R00212,2025-01-04,,Soporte,9,Excelente
R00213,2025-01-13,33.0,Ventas,7,Mal servicio
R00214,2025-01-07,63.0,Postventa,2,
R00215,2025-01-27,40.0,Soporte,9,Muy bien
R00216,2025-01-19,37.0,Atención,7,
R00217,2025-01-22,,Ventas,5,
R00218,2025-01-28,42.0,Atención,3,
R00219,2025-01-02,45.0,Atención,9,Rápido
R00220,2025-01-10,,Soporte,7,Regular
R00221,2025-01-13,38.0,Soporte,3,
R00222,2025-01-30,35.0,Soporte,5,
R00223,2025-01-25,64.0,Ventas,3,
R00224,2025-01-21,23.0,Atención,3,
R00225,2025-01-06,46.0,Atención,7,
R00226,2025-01-28,36.0,Atención,9,Excelente
R00227,2025-01-28,50.0,Atención,5,
R00228,2025-01-12,18.0,Soporte,4,
R00229,2025-01-12,,Soporte,4,
R00230,2025-01-20,20.0,Ventas,3,Mal servicio
R00231,2025-01-30,59.0,Ventas,8,Rápido
R00232,2025-01-30,38.0,Soporte,10,Excelente
R00233,2025-01-11,52.0,Atención,1,
R00234,2025-01-26,58.0,Soporte,3,
R00235,2025-01-23,57.0,Soporte,2,No resolvieron
R00236,2025-01-28,20.0,Atención,7,
R00237,2025-01-25,42.0,Ventas,6,
R00238,2025-01-07,62.0,Atención,1,No resolvieron
R00239,2025-01-30,55.0,Postventa,3,
R00240,2025-01-01,62.0,Soporte,4,Demora
R00241,2025-01-01,37.0,Ventas,10,Excelente
R00242,2025-01-25,61.0,Soporte,7,
R00243,2025-01-27,62.0,Soporte,3,
R00244,2025-01-30,,Ventas,4,No resolvieron
R00245,2025-01-25,38.0,Ventas,7,
R00246,2025-01-20,65.0,Soporte,4,
R00247,2025-01-13,40.0,Ventas,9,Rápido
R00248,2025-01-09,23.0,Atención,6,Regular
R00249,2025-01-03,30.0,Atención,2,
R00250,2025-01-07,,Atención,NS/NC,
R00251,2025-01-06,26.0,Ventas,8,Amables
R00252,2025-01-08,34.0,Atención,3,
R00253,2025-01-27,19.0,Ventas,7,Mal servicio
R00254,2025-01-09,36.0,Soporte,4,
R00255,2025-01-30,36.0,Atención,3,
R00256,2025-01-05,24.0,Soporte,9,Todo correcto
R00257,2025-01-01,59.0,Atención,6,
R00258,2025-01-19,59.0,Soporte,6,Demora
R00259,2025-01-10,37.0,Soporte,6,Demora
R00260,2025-01-12,26.0,Atención,3,
R00261,2025-01-24,34.0,Ventas,6,Mal servicio
R00262,2025-01-15,44.0,Soporte,4,
R00263,2025-01-27,64.0,Soporte,2,Poco claro
R00264,2025-01-22,19.0,Ventas,3,
R00265,2025-01-24,,Atención,4,Poco claro
R00266,2025-01-09,36.0,Soporte,1,
R00267,2025-01-20,34.0,Soporte,7,
R00268,2025-01-17,22.0,Soporte,5,Mal servicio
R00269,2025-01-30,56.0,Atención,9,Muy bien
R00270,2025-01-17,35.0,Atención,6,
R00271,2025-01-26,24.0,Soporte,8,Excelente
R00272,2025-01-20,34.0,Atención,9,Muy bien
R00273,2025-01-12,56.0,Atención,6,
R00274,2025-01-30,53.0,Atención,7,Regular
R00275,2025-01-07,57.0,Soporte,6,
R00276,2025-01-02,62.0,Atención,6,
R00277,2025-01-03,21.0,Ventas,2,
R00278,2025-01-17,55.0,Ventas,5,Demora
R00279,2025-01-05,42.0,Ventas,6,Demora
R00280,2025-01-17,22.0,Ventas,10,Amables
R00281,2025-01-24,47.0,Soporte,5,Regular
R00282,2025-01-17,29.0,Soporte,4,Mal servicio
R00283,2025-01-27,21.0,Atención,6,Mal servicio
R00284,2025-01-17,,Atención,6,No resolvieron
R00285,2025-01-02,46.0,Atención,8,Excelente
R00286,2025-01-02,26.0,Atención,NS/NC,
R00287,2025-01-28,,Postventa,10,Rápido
R00288,2025-01-22,41.0,Postventa,1,Poco claro
R00289,2025-01-23,31.0,Atención,2,Poco claro
R00290,2025-01-05,22.0,Soporte,1,Demora
R00291,2025-01-01,35.0,Soporte,10,Excelente
R00292,2025-01-01,59.0,Ventas,7,
R00293,2025-01-19,36.0,Soporte,8,Rápido
R00294,2025-01-30,29.0,Atención,3,No resolvieron
R00295,2025-01-02,35.0,Ventas,3,Poco claro
R00296,2025-01-21,34.0,Soporte,7,No resolvieron
R00297,2025-01-12,47.0,Soporte,8,Amables
R00298,2025-01-26,41.0,Soporte,6,
R00299,2025-01-06,28.0,Postventa,8,Todo correcto
R00300,2025-01-23,52.0,Ventas,2,Poco claro
R00301,2025-01-04,40.0,Soporte,7,Demora
R00302,2025-01-23,34.0,Atención,5,
R00303,2025-01-11,18.0,Soporte,6,Poco claro
R00304,2025-01-24,32.0,Ventas,7,
R00305,2025-01-27,49.0,Atención,9,Muy bien
R00306,2025-01-17,26.0,Soporte,7,Demora
R00307,2025-01-31,32.0,Atención,1,
R00308,2025-01-06,45.0,Atención,5,
R00309,2025-01-24,41.0,Atención,4,
R00310,2025-01-05,52.0,Atención,8,Excelente
R00311,2025-01-20,39.0,Soporte,7,
R00312,2025-01-02,44.0,Ventas,4,No resolvieron
R00313,2025-01-06,36.0,Soporte,3,
R00314,2025-01-22,62.0,Soporte,6,No resolvieron
R00315,2025-01-11,29.0,Ventas,8,Todo correcto
R00316,2025-01-31,37.0,Atención,3,Regular
R00317,2025-01-16,18.0,Atención,5,
R00318,2025-01-16,38.0,Atención,NS/NC,
R00319,2025-01-01,62.0,Ventas,1,Mal servicio
R00320,2025-01-09,18.0,Ventas,10,Todo correcto
R00321,2025-01-28,27.0,Atención,10,Todo correcto
R00322,2025-01-27,,Ventas,8,Rápido
R00323,2025-01-06,49.0,Postventa,7,Demora
R00324,2025-01-16,56.0,Atención,8,Rápido
R00325,2025-01-29,39.0,Soporte,2,Regular
R00326,2025-01-03,35.0,Soporte,7,
R00327,2025-01-20,65.0,Soporte,4,
R00328,2025-01-28,63.0,Soporte,2,Regular
R00329,2025-01-27,49.0,Ventas,9,Amables
R00330,2025-01-04,44.0,Soporte,5,
R00331,2025-01-19,45.0,Soporte,7,
R00332,2025-01-26,35.0,Atención,4,
R00333,2025-01-03,56.0,Atención,10,Muy bien
R00334,2025-01-31,46.0,Ventas,4,
R00335,2025-01-19,35.0,Atención,3,Poco claro
R00336,2025-01-20,61.0,Atención,1,Mal servicio
R00337,2025-01-07,25.0,Atención,2,
R00338,2025-01-20,48.0,Soporte,9,Muy bien
R00339,2025-01-09,51.0,Atención,1,
R00340,2025-01-01,24.0,Ventas,5,Demora
R00341,2025-01-08,53.0,Atención,2,Regular
R00342,2025-01-07,35.0,Soporte,4,
R00343,2025-01-18,55.0,Soporte,7,
R00344,2025-01-08,26.0,Ventas,5,Poco claro
R00345,2025-01-01,26.0,Soporte,1,Regular
R00346,2025-01-11,63.0,Ventas,3,Mal servicio
R00347,2025-01-28,25.0,Atención,10,Muy bien
R00348,2025-01-25,52.0,Soporte,9,Excelente
R00349,2025-01-25,35.0,Atención,1,
R00350,2025-01-18,22.0,Ventas,10,Excelente
R00351,2025-01-23,31.0,Atención,4,
R00352,2025-01-31,,Soporte,5,Poco claro
R00353,2025-01-30,47.0,Soporte,10,Amables
R00354,2025-01-10,21.0,Ventas,3,Mal servicio
R00355,2025-01-03,56.0,Atención,3,
R00356,2025-01-07,37.0,Ventas,1,Mal servicio
R00357,2025-01-28,-25.0,Postventa,6,
R00358,2025-01-16,45.0,Atención,4,
R00359,2025-01-26,29.0,Postventa,8,Todo correcto
R00360,2025-01-16,19.0,Atención,6,
R00361,2025-01-25,60.0,Ventas,3,
R00362,2025-01-20,31.0,Postventa,7,
R00363,2025-01-28,39.0,Postventa,3,
R00364,2025-01-17,48.0,Soporte,9,Todo correcto
R00365,2025-01-02,40.0,Ventas,8,Amables
R00366,2025-01-01,65.0,Atención,3,
R00367,2025-01-16,37.0,Soporte,12,Todo correcto
R00368,2025-01-30,55.0,Atención,3,Mal servicio
R00369,2025-01-12,21.0,Soporte,4,
R00370,2025-01-05,32.0,Ventas,3,No resolvieron
R00371,2025-01-05,41.0,Atención,9,Muy bien
R00372,2025-01-27,42.0,Postventa,10,Rápido
R00373,2025-01-23,18.0,Soporte,2,
R00374,2025-01-09,24.0,Ventas,8,Todo correcto
R00375,2025-01-09,48.0,Ventas,7,Mal servicio
R00376,2025-01-03,29.0,Ventas,1,Demora
R00377,2025-01-19,59.0,Atención,6,
R00378,2025-01-16,22.0,Soporte,6,No resolvieron
R00379,2025-01-16,61.0,Atención,9,Rápido
R00380,2025-01-03,59.0,Atención,10,Todo correcto
R00381,2025-01-20,55.0,Atención,8,Excelente
R00382,2025-01-24,29.0,Soporte,7,Mal servicio
R00383,2025-01-22,56.0,Atención,7,Mal servicio
R00384,2025-01-24,35.0,Soporte,5,
R00385,2025-01-01,19.0,Soporte,2,Regular
R00386,2025-01-24,27.0,Atención,10,Rápido
R00387,2025-01-20,32.0,Soporte,5,
R00388,2025-01-11,47.0,Soporte,1,Mal servicio
R00389,2025-01-17,61.0,Postventa,10,Amables
R00390,2025-01-08,34.0,Atención,6,Poco claro
R00391,2025-01-04,21.0,Soporte,2,
R00392,2025-01-06,24.0,Soporte,1,Poco claro
R00393,2025-01-08,58.0,Postventa,1,Demora
R00394,2025-01-20,48.0,Soporte,1,
R00395,2025-01-30,56.0,Soporte,4,Regular
R00396,2025-01-03,51.0,Atención,5,
R00397,2025-01-16,23.0,Atención,5,
R00398,2025-01-30,55.0,Atención,1,Poco claro
R00399,2025-01-25,62.0,Ventas,6,
R00400,2025-01-03,51.0,Ventas,3,
R00401,2025-01-25,61.0,Atención,4,No resolvieron
R00402,2025-01-29,,Soporte,5,Demora
R00403,2025-01-18,31.0,Atención,4,Regular
R00404,2025-01-14,23.0,Ventas,4,
R00405,2025-01-18,54.0,Ventas,10,Amables
R00406,2025-01-02,49.0,Ventas,1,
R00407,2025-01-22,20.0,Atención,2,
R00408,2025-01-03,20.0,Ventas,2,
R00409,2025-01-16,39.0,Postventa,2,
R00410,2025-01-29,39.0,Ventas,10,Todo correcto
R00411,2025-01-09,27.0,Soporte,1,
R00412,2025-01-04,20.0,Soporte,10,Excelente
R00413,2025-01-01,29.0,Ventas,8,Excelente
R00414,2025-01-04,46.0,Soporte,1,
R00415,2025-01-01,65.0,Atención,8,Muy bien
R00416,2025-01-14,34.0,Soporte,NS/NC,
R00417,2025-01-21,24.0,Ventas,10,Amables
R00418,2025-01-16,30.0,Postventa,3,No resolvieron
R00419,2025-01-20,19.0,Atención,9,Amables
R00420,2025-01-24,,Ventas,8,Rápido
R00421,2025-01-08,27.0,Atención,2,No resolvieron
R00422,2025-01-07,56.0,Postventa,4,Regular
R00423,2025-01-03,41.0,Atención,8,Rápido
R00424,2025-01-17,34.0,Soporte,9,Amables
R00425,2025-01-01,,Atención,7,Demora
R00426,2025-01-16,36.0,Soporte,1,Poco claro
R00427,2025-01-12,22.0,Atención,8,Excelente
R00428,2025-01-27,49.0,Ventas,1,
R00429,2025-01-19,27.0,Soporte,9,Rápido
R00430,2025-01-22,26.0,Soporte,8,Muy bien
R00431,2025-01-23,44.0,Atención,4,
R00432,2025-01-22,30.0,Atención,10,Excelente
R00433,2025-01-14,36.0,Atención,4,
R00434,2025-01-30,,Soporte,4,
R00435,2025-01-06,41.0,Soporte,6,Demora
R00436,2025-01-06,55.0,Atención,2,
R00437,2025-01-13,21.0,Soporte,4,Regular
R00438,2025-01-19,41.0,Atención,4,
R00439,2025-01-22,,Soporte,8,Todo correcto
R00440,2025-01-08,20.0,Postventa,2,
R00441,2025-01-27,21.0,Atención,8,Amables
R00442,2025-01-27,54.0,Ventas,10,Rápido
R00443,2025-01-02,57.0,Ventas,2,
R00444,2025-01-21,65.0,Soporte,9,Muy bien
R00445,2025-01-30,52.0,Soporte,9,Todo correcto
R00446,2025-01-01,48.0,Soporte,6,
R00447,2025-01-28,61.0,Atención,10,Excelente
R00448,2025-01-15,42.0,Ventas,5,
R00449,2025-01-01,57.0,Ventas,7,No resolvieron
R00450,2025-01-05,30.0,Postventa,8,Excelente
R00451,2025-01-28,21.0,Soporte,8,Todo correcto
R00452,2025-01-29,63.0,Soporte,3,No resolvieron
R00453,2025-01-16,31.0,Ventas,3,
R00454,2025-01-19,30.0,Soporte,5,
R00455,2025-01-04,44.0,Soporte,5,Mal servicio
R00456,2025-01-03,23.0,Ventas,2,Mal servicio
R00457,2025-01-17,34.0,Postventa,5,No resolvieron
R00458,2025-01-17,53.0,Atención,1,
R00459,2025-01-12,,Atención,7,
R00460,2025-01-28,52.0,Ventas,7,Poco claro
R00461,2025-01-30,34.0,Soporte,1,
R00462,2025-01-29,58.0,Ventas,3,Regular
R00463,2025-01-14,19.0,Soporte,8,Rápido
R00464,2025-01-21,30.0,Soporte,9,Excelente
R00465,2025-01-06,19.0,Atención,3,
R00466,2025-01-03,45.0,Soporte,6,Regular
R00467,2025-01-28,60.0,Atención,6,
R00468,2025-01-09,43.0,Ventas,6,No resolvieron
R00469,2025-01-05,39.0,Postventa,5,
R00470,2025-01-24,64.0,Atención,6,
R00471,2025-01-29,60.0,Atención,6,
R00472,2025-01-17,20.0,Atención,10,Amables
R00473,2025-01-14,52.0,Soporte,6,Poco claro
R00474,2025-01-21,29.0,Atención,8,Rápido
R00475,2025-01-31,41.0,Soporte,6,
R00476,2025-01-03,22.0,Soporte,3,
R00477,2025-01-28,37.0,Atención,7,
R00478,2025-01-01,56.0,Ventas,6,Poco claro
R00479,2025-01-20,56.0,Postventa,9,Rápido
R00480,2025-01-31,30.0,Atención,4,Mal servicio
R00481,2025-01-29,58.0,Ventas,1,
R00482,2025-01-21,62.0,Atención,6,Regular
R00483,2025-01-23,29.0,Atención,9,Muy bien
R00484,2025-01-01,30.0,Soporte,8,Amables
R00485,2025-01-03,27.0,Atención,2,
R00486,2025-01-18,50.0,Atención,3,
R00487,2025-01-25,57.0,Atención,8,Rápido
R00488,2025-01-10,33.0,Postventa,9,Excelente
R00489,2025-01-31,62.0,Atención,8,Amables
R00490,2025-01-22,52.0,Ventas,10,Rápido
R00491,2025-01-26,20.0,Ventas,1,Mal servicio
R00492,2025-01-03,22.0,Atención,3,No resolvieron
R00493,2025-01-08,43.0,Atención,8,Rápido
R00494,2025-01-14,28.0,Atención,1,Poco claro
R00495,2025-01-24,,Atención,7,
R00496,2025-01-18,27.0,Atención,4,Demora
R00497,2025-01-15,59.0,Atención,7,
R00498,2025-01-22,51.0,Atención,4,Mal servicio
R00499,2025-01-23,20.0,Atención,8,Amables
R00500,2025-01-02,25.0,Soporte,6,Mal servicio
R00501,2025-01-31,,Atención,10,Amables
R00502,2025-01-27,28.0,Postventa,10,Amables
R00503,2025-01-10,62.0,Atención,8,Amables
R00504,2025-01-02,24.0,Soporte,1,
R00505,2025-01-26,62.0,Postventa,9,Excelente
R00506,2025-01-17,19.0,Atención,9,Rápido
R00507,2025-01-08,23.0,Soporte,6,Mal servicio
R00508,2025-01-01,,Soporte,12,Rápido
R00509,2025-01-09,49.0,Postventa,6,
R00510,2025-01-11,37.0,Ventas,NS/NC,
R00511,2025-01-22,51.0,Atención,4,Poco claro
R00512,2025-01-16,33.0,Ventas,3,
R00513,2025-01-07,42.0,Soporte,3,Poco claro
R00514,2025-01-29,29.0,Atención,2,Regular
R00515,2025-01-10,,Ventas,4,No resolvieron
R00516,2025-01-23,56.0,Ventas,NS/NC,
R00517,2025-01-26,34.0,Atención,7,Mal servicio
R00518,2025-01-03,62.0,Ventas,3,Poco claro
R00519,2025-01-18,28.0,Soporte,8,Muy bien
R00520,2025-01-25,23.0,Soporte,9,Muy bien
R00521,2025-01-24,40.0,Soporte,1,Regular
R00522,2025-01-13,44.0,Ventas,1,Poco claro
R00523,2025-01-28,63.0,Ventas,9,Todo correcto
R00524,2025-01-26,23.0,Soporte,NS/NC,
R00525,2025-01-07,55.0,Postventa,7,
R00526,2025-01-25,19.0,Atención,3,
R00527,2025-01-04,39.0,Atención,4,
R00528,2025-01-13,37.0,Soporte,7,No resolvieron
R00529,2025-01-20,42.0,Soporte,9,Muy bien
R00530,2025-01-01,32.0,Soporte,8,Rápido
R00531,2025-01-08,46.0,Soporte,8,Excelente
R00532,2025-01-14,25.0,Soporte,1,
R00533,2025-01-16,,Soporte,6,Demora
R00534,2025-01-14,50.0,Ventas,6,
R00535,2025-01-12,39.0,Ventas,5,
R00536,2025-01-19,64.0,Ventas,1,
R00537,2025-01-23,22.0,Postventa,3,Regular
R00538,2025-01-15,56.0,Atención,4,Demora
R00539,2025-01-28,35.0,Ventas,10,Todo correcto
R00540,2025-01-02,55.0,Atención,7,Regular
R00541,2025-01-02,54.0,Ventas,5,Mal servicio
R00542,2025-01-23,47.0,Ventas,2,
R00543,2025-01-31,48.0,Atención,3,Regular
R00544,2025-01-22,27.0,Postventa,1,Demora
R00545,2025-01-19,32.0,Ventas,6,Demora
R00546,2025-01-25,59.0,Postventa,NS/NC,
R00547,2025-01-26,65.0,Atención,4,
R00548,2025-01-31,61.0,Ventas,2,
